PASSAGEIROS PAGOS,PASSAGEIROS GRÁTIS,CARGA PAGA (KG),ASK,RPK,ATK,RTK,DISTÂNCIA VOADA (KM),DECOLAGENS,CORREIO KM,HORAS VOADAS
4237.0,194.0,265278.0,63814900.0,55030900.0,12085000.0,7539590.0,221238.0,27.0,0.0,"277,683"
5058.0,129.0,120682.0,13924100.0,13128500.0,2638530.0,1510570.0,48216.0,28.0,0.0,"76,201"
186.0,10.0,1760.0,,,,,,,,
0.0,0.0,0.0,24734.0,21580.0,4764.0,2255.0,83.0,1.0,0.0,"0,417"
6216.0,312.0,204782.0,70380400.0,50623100.0,13558100.0,6265820.0,236176.0,29.0,42006800.0,"286,517"
2476.0,0.0,112349.0,,,,,,,,
5319.0,288.0,144509.0,76376300.0,63872200.0,14539500.0,7960200.0,262208.0,32.0,107022000.0,"318,533"
2445.0,0.0,78504.0,,,,,,,,
4861.0,170.0,117344.0,15024400.0,12580900.0,2857800.0,1471390.0,51660.0,30.0,1870090.0,"79,467"
7420.0,345.0,395688.0,70380400.0,60428500.0,13558100.0,8661030.0,236176.0,29.0,0.0,"296,549"
5385.0,368.0,289477.0,73934400.0,64159000.0,14069100.0,8818870.0,254014.0,31.0,29334500.0,"316,001"
4875.0,110.0,153606.0,15024400.0,12658400.0,2857800.0,1597220.0,51660.0,30.0,0.0,"84,214"
3171.0,164.0,196626.0,43684400.0,25824600.0,8415400.0,3954440.0,146592.0,18.0,28911200.0,"176,616"
1051.0,7.0,113362.0,,,,,,,,
5731.0,362.0,167735.0,73254400.0,55571700.0,14111800.0,7382660.0,245820.0,30.0,77908600.0,"296,417"
0.0,0.0,12781.0,2205260.0,0.0,432034.0,104778.0,8198.0,1.0,0.0,"10,967"
1549.0,0.0,61737.0,,,,,,,,
109.0,5.0,5426.0,513156.0,187698.0,98854.0,26236.0,1722.0,1.0,0.0,"2,567"
2129.0,83.0,87114.0,8210500.0,6333520.0,1581660.0,826365.0,27552.0,16.0,34440.0,"40,369"
4661.0,166.0,273624.0,41257500.0,37959200.0,7947870.0,5644710.0,138448.0,17.0,0.0,"171,752"
6575.0,319.0,368683.0,73254400.0,66568100.0,14111800.0,9552320.0,245820.0,30.0,34349200.0,"304,099"
140.0,4.0,3548.0,513156.0,241080.0,98854.0,27806.0,1722.0,1.0,0.0,"2,75"
2009.0,89.0,122539.0,8723650.0,5269320.0,1680520.0,880453.0,29274.0,17.0,0.0,"48,651"
0.0,0.0,0.0,949032.0,0.0,185925.0,0.0,3528.0,1.0,0.0,"5,25"
192.0,2.0,0.0,79092.0,32448.0,13032.0,2510.0,8788.0,52.0,0.0,"46,9833"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,643.0,1.0,0.0,"2,78333"
